slug,label_auto,label,open_from,revealed_as,note
google/gemini-2.5-flash-lite,closed,closed,,,Google proprietary [from knowledge]
minimax/minimax-m2.5-20260211,open,open,,,"HF MiniMaxAI/MiniMax-M2.5, modified MIT; https://osai-index.eu/model/minimax [verified by search]"
google/gemini-3-flash-preview-20251217,closed,closed,,,Google proprietary [from knowledge]
deepseek/deepseek-v3.2-20251201,open,open,,,"HF deepseek-ai/DeepSeek-V3.2, MIT [from knowledge]"
moonshotai/kimi-k2.5-0127,open,open,,,"HF moonshotai/Kimi-K2.5, modified MIT; https://osai-index.eu/model/kimik2.5/ [verified by search]"
xiaomi/mimo-v2-pro-20260318,closed,closed,,,"API only at release; MiMo-V2-Flash was the open model; tested as stealth 'Hunter Alpha'. https://www.cometapi.com/how-to-use-mimo-v2-api-for-free/ [verified by search] - no official HF repo found, confirm | DECISION: closed, no public weights during use"
stepfun/step-3.5-flash,open,open,,,"HF stepfun-ai/Step-3.5-Flash, Apache 2.0; https://vercel.com/ai-gateway/models/step-3.5-flash/about [verified by search]"
anthropic/claude-4.6-opus-20260205,closed,closed,,,Anthropic proprietary [from knowledge]
tencent/hy3-preview-20260421,open,open,,,"HF tencent/Hy3-preview, Tencent Hunyuan Community License (restricted); https://www.llmreference.com/model/hy3-preview [verified by search] | DECISION: open, weights public; license restrictions do not change the label"
deepseek/deepseek-v4-flash-20260423,open,open,,,"HF deepseek-ai/DeepSeek-V4-Flash, MIT; https://framia.converge.ai/page/en-US/news/deepseek-v4-huggingface [verified by search]"
anthropic/claude-4.6-sonnet-20260217,closed,closed,,,Anthropic proprietary [from knowledge]
anthropic/claude-4.7-opus-20260416,closed,closed,,,Anthropic proprietary [from knowledge]
xiaomi/mimo-v2.5-20260422,open,open,,,"HF XiaomiMiMo/MiMo-V2.5, MIT; https://www.edenai.co/fr/providers/xiaomi [verified by search]"
minimax/minimax-m3-20260531,open,open,2026-06-12,,"HF MiniMaxAI/MiniMax-M3, MiniMax Community License. API from May 31, weights public June 12 2026; https://www.ithome.com/0/964/598.htm [verified by search] | DECISION: closed before 2026-06-12, open after"
openrouter/owl-alpha,stealth,stealth,,open,"Anonymous at the time; reported later as Meituan LongCat-2.0 (open, MIT). https://ecosistemastartup.com/?p=100995 [verified by search] - use for sensitivity check"
deepseek/deepseek-v4-pro-20260423,open,open,,,"HF deepseek-ai/DeepSeek-V4-Pro, MIT; https://framia.converge.ai/page/en-US/news/deepseek-v4-huggingface [verified by search]"
deepseek/deepseek-v4-flash-20260731,open,open,,,"HF deepseek-ai/DeepSeek-V4-Flash-0731, MIT; https://agentpedia.codes/blog/deepseek-v4-flash-0731-codex-responses-api-guide [verified by search]"
tencent/hy3-20260706,open,open,,,"HF Hy3, Apache 2.0; https://vercel.com/ai-gateway/models/hy3/about [verified by search]"
openai/gpt-5.6-luna-20260709,closed,closed,,,OpenAI proprietary; https://www.llmreference.com/model/gpt-5.6-luna [verified by search]
tencent/hy4-preview-20260827,open,open,,,"Weights published Aug 28 2026, Apache 2.0; https://datanorth.ai/nl/nieuws/tencent-lanceert-hy4-preview [verified by search]"
z-ai/glm-5.3-flash-20260826,open,open,,,"MIT open weights, Aug 26 2026; https://www.secondtalent.com/resources/every-glm-ai-model-explained-compared/ [verified by search]"
nvidia/nemotron-3-ultra-550b-a55b-20260604,open,open,,,"Weights on HF, OpenMDW license; https://runtimewire.com/article/nvidia-s-new-nemotron-model-takes-the-top-us-open-weight-slot-artificial-analysi [verified by search]"
z-ai/glm-5.2-20260616,open,open,,,"HF zai-org/GLM-5.2, MIT; https://www.noze.it/en/insights/glm-5-2-open-weight-ai-sovereignty/ [verified by search]"
google/gemini-flash-1.5-exp,closed,closed,,,"Google experimental, proprietary [from knowledge]"
google/gemini-pro-1.5-exp,closed,closed,,,"Google experimental, proprietary [from knowledge]"
openchat/openchat-7b,closed,open,,,"CORRECTED from closed. OpenChat 3.5 7B, HF openchat/openchat-3.5-0106, Apache 2.0 [from knowledge]"
microsoft/wizardlm-2-7b,closed,open,,,"CORRECTED from closed. Microsoft released weights Apr 2024, then withdrew them; community copies stay on HF [from knowledge]"
google/gemini-2.0-flash-thinking-exp-1219,unknown,closed,,,"Google experimental, proprietary [from knowledge]"
google/learnlm-1.5-pro-experimental,unknown,closed,,,"Google experimental, proprietary [from knowledge]"
google/gemini-2.0-flash-thinking-exp-01-21,unknown,closed,,,"Google experimental, proprietary [from knowledge]"
qwen/qwen-2-vl-72b-instruct,closed,open,,,"CORRECTED from closed. HF Qwen/Qwen2-VL-72B-Instruct, Qwen license [from knowledge]"
google/gemini-2.0-pro-exp-02-05,unknown,closed,,,"Google experimental, proprietary [from knowledge]"
google/gemini-2.0-flash-lite-preview-02-05,unknown,closed,,,"Google preview, proprietary [from knowledge]"
google/gemini-exp-1206,unknown,closed,,,"Google experimental, proprietary [from knowledge]"
qwen/qwen2.5-32b-instruct,closed,open,,,"CORRECTED from closed. HF Qwen/Qwen2.5-32B-Instruct, Apache 2.0 [from knowledge]"
openrouter/quasar-alpha,stealth,stealth,,closed,Anonymous at the time; later revealed as an early OpenAI GPT-4.1 checkpoint (closed) [from knowledge] - use for sensitivity check
openrouter/optimus-alpha,stealth,stealth,,closed,Anonymous at the time; later revealed as an early OpenAI GPT-4.1 checkpoint (closed) [from knowledge] - use for sensitivity check
intfloat/multilingual-e5-large-20251117,unknown,exclude,,,"Embedding model, not text generation [from knowledge]"
sentence-transformers/all-minilm-l6-v2-20251117,unknown,exclude,,,"Embedding model, not text generation [from knowledge]"
baai/bge-m3-20251117,unknown,exclude,,,"Embedding model, not text generation [from knowledge]"
typesafe/jev-1.13-20260917,unknown,exclude,,,"Structured decision model, returns typed choices, not text; https://openrouter.ai/typesafe/jev-1.13-20260917 [verified by search]"
openrouter/hunter-alpha,stealth,stealth,,closed,Anonymous at the time; later revealed as Xiaomi MiMo-V2-Pro (no public weights). https://developer.puter.com/ai/xiaomi/mimo-v2-pro/ [verified by search]
stealth/ox-alpha,stealth,stealth,,,"Anonymous, added Aug 20 2026; no official reveal found. https://openrouter.ai/models/stealth/ox-alpha [verified by search]"
